id,sp,study,updatedstudy,mod_name,n_fixes,duration,year,resampled.,minsampling,ess,speed_low,speed_est,speed_high,mean_dist_day_low,mean_dist_day_est,mean_dist_day_high,area_mod_low,area_mod_est,area_mod_high,area_ud_low,area_ud_est,area_ud_high,tau_p_low,tau_p_est,tau_p_high,tau_v_low,tau_v_est,tau_v_high,sigma_p,b_l_s,ridge_length_low,ridge_length_est,ridge_length_high,ridge_dens_low,ridge_dens_est,ridge_dens_high,avg_ridge_width,bandwidth_1,bandwidth_2,ridge_use_prob,ridge_prob_frac5,ridge_prob_frac10,ridge_prob_frac25,ridge_prob_reduced10,ridge_prob_reduced100,ridge_prob_fixed10,ridge_prob_fixed50,ridge_prob_fixed100,ridge_prob_fixed200,tag,kept (y/n),tag2,mean_roughness,mean_treecover,mean_hfi,mean_road_cover,mean_dhi_gpp,seasonality_dhi_gpp,phylo,genus,clade,mass,hunting_movement,hunting_cooperativity,hunting_carcass,pursuit,disruptfast,slowwalking
C262,Puma concolor,Starkey,Clark,OUF anisotropic,1786,33.1428571428571,2018-04-18,y,1,66.19001311068888,0.141296827321088,0.144855685720703,0.14845942271496704,10494.800624428497,10759.1342974674,11026.8013213825,334796007.43047494,432718473.9223409,543011476.0647599,343505340.824793,443975147.75245696,557137295.599722,211519.200572846,277104.40608215105,363025.44479264197,5657.714775948999,6221.7171946968,6841.94350258542,22989131.8059003,718.4469455946539,102682.70561695001,139524.462832535,190075.26986361702,30.6945388607369,43.8472194384212,64.8468671888797,8120.09485549348,2272.5910299615,2120.3828521376,0.999705715555962,0.136543061684455,0.23429060201339003,0.4890159062142151,0.36382769256228303,0.0507455521012272,0.00417254126413359,0.0301092505481592,0.0597504606225546,0.121979540131448,a,y,none,74.786192602040785,76.30357142857147,0.15647172801100126,0.8497071291069727,8291.533588435364,0.909860575280222,Puma_concolor,Puma,felidae,51600.04,Slow walking,Typically Solitary,Routine Cacheing,0,0,1
C263,Puma concolor,Starkey,Clark,OUF anisotropic,1290,25.571428571428598,2018-04-27,n,177.366666666667,32.1567031944314,0.13715074865174498,0.141396252958654,0.14570737116786606,10156.294630516702,10470.682944251601,10789.930102215802,314474020.315436,459291295.08715606,631103598.426255,293969003.676123,429343588.632401,589953013.796466,224840.764623326,335351.194158689,500178.0865318751,5109.88509302036,5741.051564237711,6450.1789107266095,24400872.059731398,646.321300675075,97960.63526474901,139244.822745306,214222.394381638,32.6438704131057,45.15991661394639,77.7879478219505,7132.728423367921,2744.3213143971207,2467.3238076544703,0.9981321297146968,0.15177173423718401,0.2583761431545781,0.508754363012413,0.35387086319480815,0.045247357840269405,0.00461444046563192,0.0326242942422147,0.061981954102320894,0.13194755964022503,c,y,2,93.0578110161444,91.86134852801516,0.09011453228296488,0.6686782904462546,8992.761158594492,0.9237323261280912,Puma_concolor,Puma,felidae,51600.04,Slow walking,Typically Solitary,Routine Cacheing,0,0,1
C267,Puma concolor,Starkey,Clark,OUF anisotropic,10423,189.428571428571,2018-11-26,n,177.26666666666696,83.12547307345207,0.13302997154016002,0.13435873045121002,0.13569418379904402,9994.129752446623,10093.9552941122,10194.283768079904,1478215161.6617398,1855564321.77986,2275162299.9299097,1398047530.61141,1754932018.85355,2151774056.7492795,1060861.3720354203,1334902.7219450301,1679734.34044193,6197.210194571961,6427.832328159651,6667.03680232169,98580983.5689587,688.9759049683581,314524.64559858094,397996.564263958,479140.8523278909,70.75993521168029,90.2606274568935,106.69147889826398,12104.366376652799,4326.32300728364,4204.47211906438,0.9988228545461781,0.22617021572034599,0.352334425831084,0.6432583666404981,0.41401505982983305,0.055293318212418306,0.0035277942237290703,0.017878622535780497,0.0439477522853307,0.0997149770234668,a,y,none,72.6312299465238,64.69090909090866,0.18321892455754696,0.7972599190132802,7525.0379679144035,0.9275953654299448,Puma_concolor,Puma,felidae,51600.04,Slow walking,Typically Solitary,Routine Cacheing,0,0,1
C270,Puma concolor,Starkey,Clark,OUF anisotropic,7318,138.285714285714,2019-12-14,n,3.7833333333333306,33.76105414047281,0.113154809888384,0.11721312749327302,0.12134394270361402,8335.1846347341,8634.12753054662,8938.41072897291,519946094.03782403,751859244.534941,1025867820.0068401,523907048.423456,757586915.549624,1033682891.00618,1592772.7461992102,2307129.2930463096,3341873.84078118,1807.26091214876,1981.14900613776,2171.76798221902,39944195.392037705,185.20360777712696,201058.408809651,268653.93721372914,348448.52667825104,77.1596485955175,95.26951495469771,117.459983908661,8436.75868889028,3510.42651944174,3347.4394484322,0.999039073154637,0.213680903484592,0.34682409028682704,0.6298339873178539,0.417935398410296,0.05229081025874942,0.006090125900509539,0.026423252803637002,0.0602893419143142,0.151250305249557,a,y,none,51.173588578844935,52.21090201168068,0.20377215500921012,0.9099637363154344,6826.284231018815,0.9346462875740004,Puma_concolor,Puma,felidae,51600.04,Slow walking,Typically Solitary,Routine Cacheing,0,0,1
C271,Puma concolor,Starkey,Clark,OUF anisotropic,7270,154.57142857142904,2019-05-19,n,177.21666666666695,197.74021169738697,0.11585472445066401,0.11985764937737498,0.12392950637413301,8724.76089197234,9026.212239939941,9332.85470835437,144345413.66861302,166782712.33696902,190817169.14295,151910241.985947,175523430.542434,200817480.81118396,338109.457033984,392499.9336168011,455640.014451618,2252.53894697982,2479.35869380683,2729.01808903133,8860702.715336898,236.58323713216402,83517.6906364731,98908.68792409971,123255.76001498802,45.9166186430989,55.735741471289494,75.65069691894139,3732.053336831011,1084.3574734957601,972.6647756105561,0.9977519192434031,0.15543559003105503,0.2565649683690721,0.5410715733545292,0.31992799415830103,0.04665235767658291,0.010634962451081902,0.0665507272248364,0.12339051757581102,0.200140599615623,a,y,none,53.6201499118166,49.34567901234577,0.23009584383400172,0.8079414241155666,6779.780423280418,0.940592992137559,Puma_concolor,Puma,felidae,51600.04,Slow walking,Typically Solitary,Routine Cacheing,0,0,1
OR1,Vulpes macrotis,Oregon,Clark,OUF,1865,67.71428571428571,2014-03-14,n,29,915.2969499540691,0.5564015693133679,0.581903726340095,0.6079852938106329,14389.856100428497,15049.401993366899,15723.932806135503,26536657.821261797,28343346.8704881,30208690.9271639,24785084.9574865,26472522.0823287,28214742.644957703,7328.936888810469,8206.151197823909,9188.360945549988,730.622842351138,851.2288828231401,991.7437136520472,1505803.37169275,395.2187597149949,40548.960081863894,42854.6642272034,45615.451757470706,66.339016652188,69.3746610283229,73.74759590125092,1279.3135019452702,382.743954806793,382.743954806793,0.987850546860812,0.21229631097937404,0.345144373020585,0.6524490352828791,0.3549507742940621,0.049601937307663095,0.03771998336482079,0.18409267730093998,0.2987667564227,0.48690419891537406,a,y,none,4.648133116883118,0.33116883116883095,0.23118290413933423,0.24464643948401008,1038.7207792207791,0.6545654844928096,Vulpes_macrotis,Vulpes,canidae,4499.969999999999,Mixed Strategies,Typically Solitary,Routine Cacheing,0,1,1
OR6,Vulpes macrotis,Oregon,Clark,OUf anisotropic,751,29.285714285714292,2015-02-11,n,122,741.7139287653,0.444381551056414,0.5513755628120159,0.670057929603874,12939.1768464282,16054.550192426499,19510.256507915696,23312518.1431671,25085594.294372,26922731.774768,21858835.2671652,23521348.9118649,25243929.256918,2146.86707745938,2662.5477651057795,3302.0957263265504,0.5007183124335132,0.628500623048818,0.7560279084372589,1332728.01698352,17.7367855981704,41832.2627991471,47286.1781818284,51926.69798122379,80.05633372083389,95.0618374576178,106.813085070515,1359.16921798256,459.563870505991,347.53236219756604,0.9989927413869129,0.20349574075792207,0.3307012230811929,0.628329793251615,0.411751170632476,0.055183359464304006,0.03788234236700319,0.202649790224314,0.33031479417546106,0.53901183504737,a,y,none,20.73379629629629,0,0.1498688254505396,0.4321829980084052,1703.9166666666663,0.8398749265405867,Vulpes_macrotis,Vulpes,canidae,4499.969999999999,Mixed Strategies,Typically Solitary,Routine Cacheing,0,1,1
OR7,Vulpes macrotis,Oregon,Clark,OU anisotropic,623,27.857142857142897,2015-02-12,n,177,386.59822071952897,NA,NA,NA,NA,NA,NA,30490460.3234668,33773598.76909141,37222194.823702194,21270900.3441387,23561299.0443231,25967125.0707789,15353.726022398801,18292.7740268682,21794.421830238203,NA,NA,NA,NA,NA,33453.2312183073,35491.081205636,38209.7074721294,52.612661468930696,53.461264711061894,56.22423510982481,1555.3179007755,640.2811518017479,371.86467220567397,0.978821790222127,0.17973726315620905,0.304444337856547,0.6091034787435711,0.409789448738637,0.059811689282843715,0.038223399219473604,0.178673793164073,0.298256724213727,0.497770446510042,a,y,none,11.392361111111128,0.06481481481481477,0.18398844107337625,0.3578424930734477,1364.5169753086425,0.7512576423677395,Vulpes_macrotis,Vulpes,canidae,4499.969999999999,Mixed Strategies,Typically Solitary,Routine Cacheing,0,1,1
F14,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,1174,23.571428571428598,2014-09-25,n,75,715.560596178834,NA,NA,NA,NA,NA,NA,1556387.28114114,1677028.12142367,1802108.11736318,1738201.34520682,1872935.2083056099,2012626.80038873,14396.134748730305,16044.779230194301,17882.2263780478,NA,NA,NA,NA,NA,17635.7198761136,18899.616523285196,20367.300824651204,178.93129378043503,190.714288002722,206.11220262083097,288.318270504809,112.40445584138202,82.87117587278166,0.9927446836455631,0.28755558571523904,0.45094710104153596,0.7598097427518911,0.4768881091895251,0.06732620811657891,0.229182074299437,0.6663041463912719,0.8950369603762719,0.9848669130012889,a,y,none,8.597222222222221,47.22222222222222,0.3823143790165583,0.8279926975568136,13369.944444444443,0.4492955572075314,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F25,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,2427,33.57142857142859,2015-01-29,n,120,702.3021517057168,NA,NA,NA,NA,NA,NA,4124830.77079101,4447738.450394841,4782641.699257009,2893955.9589448995,3120506.00560278,3355472.0700478493,22154.446249421402,24242.5154924513,26527.3864571131,NA,NA,NA,NA,NA,19615.665601926,21187.2960672378,22628.370042317496,132.95791037085002,143.85535994316402,152.599431639659,408.7075149020949,221.18171292495697,89.18473363085519,0.9921416766377551,0.17887989486725603,0.3006857193826701,0.6305447786315741,0.381339418566664,0.05319941174346542,0.13115777780177698,0.453760337764198,0.7288800159406389,0.9309244781241641,a,y,none,9.49375,56.2,0.2589525332053502,1,14093.025,0.46196430176496506,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F3,Urocyon cinereoargenteus,Conner,Conner,OUF anisotropic,4719,85.2857142857143,2014-02-08,n,75,3007.5837436676197,0.0858796278848833,0.0915203717574286,0.09734303991522181,6173.105577169541,6578.567364983411,6997.106035493972,1231435.6609221601,1276658.4558887598,1322685.32615493,1167402.0559204,1210273.30408527,1253906.8163193401,8213.15243312972,8943.2586108548,9738.267398764268,1257.2288050616703,1528.2759574063602,1857.7584227970099,67825.32127068611,107.65864899463298,13687.410242382703,14195.4174434065,14930.184794112603,160.48044304288604,166.499480499465,177.77271411656497,222.160735903703,82.19991760960221,52.8565119453214,0.99212991764695,0.20931586251138004,0.338936189773614,0.670759233457856,0.3607423765001149,0.05561064118486391,0.204078595159525,0.65119761162764,0.9061860646547579,0.990631538422135,a,y,none,10.734375,46.83333333333333,0.18679793344603648,0.8301700784100426,13880.333333333334,0.4787369395295779,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F30,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic error,148,31.714285714285705,2015-02-24,n,720,143.57777371291,NA,NA,NA,NA,NA,NA,646460.8532852352,766745.618073095,897141.429563068,776172.770585133,920592.589155928,1077152.22886579,7522.45816131431,22573.523612833,67739.0232516893,NA,NA,NA,NA,NA,6539.8601776596615,7388.46478887522,8774.090599099369,55.1034161003816,59.29812229587992,71.470553351838,222.841463485162,135.83411704962802,65.4428844730913,0.991945207602351,0.13953786837793503,0.22167365916906498,0.42601653044561505,0.2973703497691171,0.0464566799580375,0.17525857722314298,0.5613604323992291,0.8498909315467181,0.9885138637947618,c,y,2,8.75,70.5,0.1851356476545334,0.8645448386669159,14838.5,0.48561137914657593,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F32,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,2292,25.857142857142897,2015-03-18,n,90,402.15764869107505,NA,NA,NA,NA,NA,NA,5826083.318568851,6440215.06556341,7084677.092867429,4826412.93309377,5335168.686186249,5869050.48865796,33140.096720797796,36956.0542956896,41211.405042425504,NA,NA,NA,NA,NA,25581.6731344498,28090.716758032897,30072.653739549598,135.591796522545,147.90317127612695,154.09042820240603,483.0924982445769,222.30626930328202,148.077670065594,0.9914394259803959,0.262036389223724,0.41615927577599104,0.769427019246112,0.42038892096769914,0.05261209776107181,0.11841119316947397,0.4339310958390501,0.694099556784983,0.9254304887355269,a,y,none,8.04375,10.320000000000004,0.2788944527506828,0.97029767036438,11889.35,0.5080420792102813,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F35,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,3640,35.2857142857143,2015-04-02,n,90,1711.5077137003702,NA,NA,NA,NA,NA,NA,823857.728829839,864325.647288953,905750.165795568,719795.992123629,755152.394688218,791344.5688383151,9204.052872480279,9827.21963879896,10492.5783420855,NA,NA,NA,NA,NA,10785.514036951601,11368.360795241899,11931.122603063399,161.61150425147096,171.14376923104592,179.88584514872102,168.97619284700502,60.34082809729109,52.7726887973228,0.99463025196955,0.29937118715810707,0.4730296033670311,0.7856157856307618,0.4279348972903721,0.05793632400513521,0.29900548420648304,0.784791598500279,0.970581916191474,0.996348852871712,a,y,none,7.765625,16.625,0.32751524945100147,0.8419095476468405,11768.4375,0.46026547253131866,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F36,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,2639,26,2015-03-27,n,90,413.6177085522719,NA,NA,NA,NA,NA,NA,1035699.39826914,1143233.7005168602,1256002.92742644,709100.21846924,782724.4740633089,859932.8644242851,31336.3585507296,34907.89455899151,38886.49348229059,NA,NA,NA,NA,NA,9319.344280056472,10341.119438411102,11527.858627001398,122.47941200428299,136.623747925422,154.537092396276,193.24222639695301,96.67427473793468,56.5466739057895,0.982885690557361,0.23829914432095003,0.3700335509515909,0.716155742274764,0.375756675478901,0.0587476650472545,0.24755929619915903,0.7372843990246879,0.936394485451783,0.9834344422542329,a,y,none,7.515625,5.5,0.21563905477523804,0.8873950242996216,10875.5,0.5230586305260658,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F39,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,2579,26,2015-03-30,n,90,1324.87016458029,NA,NA,NA,NA,NA,NA,796197.8581166362,840872.1873123909,886748.734434965,773628.8944002261,817036.888470365,861613.022489727,9171.102049161062,9860.274238159544,10601.235002134403,NA,NA,NA,NA,NA,11012.593763078801,11333.417056889,11843.793363306202,156.76407935179998,157.20996689128197,162.80561873049902,178.556804681681,79.39193818748498,44.17484600288459,0.9872883021170479,0.24824634596076406,0.40244527080743303,0.7657315194288161,0.44375848790540107,0.0597494934513583,0.2806448379828601,0.827549751694967,0.959146060626691,0.989330696248027,a,y,none,7.833333333333333,8.5,0.2964535653591156,1,11331.083333333334,0.5106655955314636,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
F41,Urocyon cinereoargenteus,Conner,Conner,OU anisotropic,294,3.4285714285714306,2015-04-13,n,90,109.82648277528699,NA,NA,NA,NA,NA,NA,1204417.81462765,1465683.60445961,1752213.15060095,1021723.1344797999,1243358.2668046902,1486424.9687822799,9414.09481129265,12267.806319044697,15986.568533499498,NA,NA,NA,NA,NA,11212.317921455298,12906.406691980597,14773.368517453799,123.04318942116902,133.972112580941,146.83043001578105,279.68827083014804,130.56480520441497,110.69369235230899,0.9917190407160129,0.33187961016934303,0.5523256980340551,0.8578420493541812,0.5767433691598121,0.06525031867665769,0.25811964206392496,0.7858902125762901,0.938478344948687,0.9874488784774911,x,n,dropped,7.916666666666667,33.333333333333336,0.2511044591665268,0.760356143116951,12501.25,0.5008914719025294,Urocyon_cinereoargenteus,Urocyon,canidae,3833.72,Disruptive Fast hunting,Evidence for Cooperativity,Limited Cacheing,0,1,0
